affy	entrez	Species	Gene Name
1449669_at	98710	Mus musculus	RAB interacting factor(Rabif)
1429098_s_at	75570	Mus musculus	nonhomologous end-joining factor 1(Nhej1)
1440007_at	100048911	Mus musculus	RIKEN cDNA D930003E18 gene(D930003E18Rik)
1453039_at	329559	Mus musculus	zinc finger protein 335(Zfp335)
1432309_at	71612	Mus musculus	RIKEN cDNA 9130410C08 gene(9130410C08Rik)
1436397_at	212937	Mus musculus	TRAF-interacting protein with forkhead-associated domain, family member B(Tifab)
1442027_at	269198	Mus musculus	neurobeachin like 1(Nbeal1)
1417988_at	19711	Mus musculus	regulated endocrine-specific protein 18(Resp18)
1447447_s_at	51796	Mus musculus	serine/arginine repetitive matrix 1(Srrm1)
1447902_at	19015	Mus musculus	peroxisome proliferator activator receptor delta(Ppard)
1431745_a_at	75553	Mus musculus	zinc finger CCCH type containing 14(Zc3h14)
1454143_at	74894	Mus musculus	RIKEN cDNA 4930442H23 gene(4930442H23Rik)
1453557_at	75255	Mus musculus	RIKEN cDNA 4930562F07 gene(4930562F07Rik)
1426070_a_at	56543	Mus musculus	potassium voltage-gated channel, Shal-related family, member 3(Kcnd3)
1450131_a_at	192120	Mus musculus	B-box and SPRY domain containing(Bspry)
1427491_at	74455	Mus musculus	NOL1/NOP2/Sun domain family member 6(Nsun6)
1455254_at	76425	Mus musculus	GID complex subunit 8(Gid8)
1448378_at	14086	Mus musculus	fascin actin-bundling protein 1(Fscn1)
1456919_at	414094	Mus musculus	diacylglycerol kinase, epsilon, opposite strand(Dgkeos)
1442266_at	106250	Mus musculus	expressed sequence AI662175(AI662175)
1448461_a_at	66231	Mus musculus	THO complex 7(Thoc7)
1433674_a_at	83673	Mus musculus	small nucleolar RNA host gene 1(Snhg1)
1428756_at	67618	Mus musculus	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase(Aasdhppt)
1428980_at	433619	Mus musculus	keratinocyte expressed, proline-rich(Kprp)
1454599_at	78107	Mus musculus	RIKEN cDNA 4930425F17 gene(4930425F17Rik)
1425853_s_at	19116	Mus musculus	prolactin receptor(Prlr)
1449278_at	13666	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 3(Eif2ak3)
1436309_at	74513	Mus musculus	neuropilin (NRP) and tolloid (TLL)-like 2(Neto2)
1435607_at	108068	Mus musculus	glutamate receptor, metabotropic 2(Grm2)
1419948_at	52164	Mus musculus	DNA segment, Chr 4, ERATO Doi 117, expressed(D4Ertd117e)
1417627_a_at	16885	Mus musculus	LIM-domain containing, protein kinase(Limk1)
1439529_at	269855	Mus musculus	scavenger receptor cysteine rich family, 5 domains(Ssc5d)
1454114_a_at	74446	Mus musculus	solute carrier family 9, subfamily B (NHA1, cation proton antiporter 1), member 1(Slc9b1)
1422988_at	27029	Mus musculus	N-sulfoglucosamine sulfohydrolase (sulfamidase)(Sgsh)
1460597_at	75302	Mus musculus	additional sex combs like 2 (Drosophila)(Asxl2)
1426982_at	224613	Mus musculus	FLYWCH-type zinc finger 1(Flywch1)
1436855_at	19280	Mus musculus	protein tyrosine phosphatase, receptor type, S(Ptprs)
1445161_at	98910	Mus musculus	USP6 N-terminal like(Usp6nl)
1454360_at	74856	Mus musculus	phosphatidylinositol-4-phosphate 5-kinase, type 1 beta, opposite strand(Pip5k1bos)
1417445_at	67052	Mus musculus	NDC80 kinetochore complex component(Ndc80)
1444450_at	242681	Mus musculus	RAB42, member RAS oncogene family(Rab42)
1439667_at	100302688	Mus musculus	predicted gene, 17455(Gm17455)
1456189_x_at	16998	Mus musculus	latent transforming growth factor beta binding protein 3(Ltbp3)
1434378_a_at	17122	Mus musculus	Max dimerization protein 4(Mxd4)
1455666_at	218314	Mus musculus	zinc finger protein 595(Zfp595)
1417078_at	107753	Mus musculus	lectin, galactose-binding, soluble 2(Lgals2)
1420510_at	67222	Mus musculus	serum response factor binding protein 1(Srfbp1)
1448757_at	18854	Mus musculus	promyelocytic leukemia(Pml)
1450755_at	18475	Mus musculus	platelet-activating factor acetylhydrolase, isoform 1b, subunit 2(Pafah1b2)
1435772_at	16565	Mus musculus	kinesin family member 21B(Kif21b)
1447562_at	14238	Mus musculus	forkhead box F2(Foxf2)
1437226_x_at	17357	Mus musculus	MARCKS-like 1(Marcksl1)
1455923_at	243043	Mus musculus	potassium channel tetramerisation domain containing 8(Kctd8)
1420110_s_at	228876	Mus musculus	zinc finger protein 334(Zfp334)
1430282_at	70544	Mus musculus	transmembrane protein 242(Tmem242)
1422326_at	14380	Mus musculus	glucose-6-phosphate dehydrogenase 2(G6pd2)
1456552_at	768252	Mus musculus	forkhead box L2, opposite strand(Foxl2os)
1450472_s_at	17127	Mus musculus	SMAD family member 3(Smad3)
1447233_at	101359	Mus musculus	proline-rich transmembrane protein 4(Prrt4)
1460243_at	20773	Mus musculus	serine palmitoyltransferase, long chain base subunit 2(Sptlc2)
1430292_a_at	66291	Mus musculus	small integral membrane protein 8(Smim8)
1438174_x_at	51792	Mus musculus	protein phosphatase 2, regulatory subunit A, alpha(Ppp2r1a)
1454844_at	207911	Mus musculus	melanin-concentrating hormone receptor 1(Mchr1)
1421380_at	16337	Mus musculus	insulin receptor(Insr)
1451983_at	16371	Mus musculus	Iroquois related homeobox 1 (Drosophila)(Irx1)
1432123_at	74654	Mus musculus	RIKEN cDNA 4930455H04 gene(4930455H04Rik)
1457278_at	211378	Mus musculus	RIKEN cDNA 6720489N17 gene(6720489N17Rik)
1420278_at	232717	Mus musculus	protease, serine 58(Prss58)
1454672_at	18039	Mus musculus	neurofilament, light polypeptide(Nefl)
1431578_at	74716	Mus musculus	WBP2 N-terminal like(Wbp2nl)
1421493_a_at	58175	Mus musculus	regulator of G-protein signaling 20(Rgs20)
1429016_at	52231	Mus musculus	ankyrin repeat and zinc finger domain containing 1(Ankzf1)
1425781_a_at	18795	Mus musculus	phospholipase C, beta 1(Plcb1)
1458218_s_at	18583	Mus musculus	phosphodiesterase 7A(Pde7a)
1435015_at	67109	Mus musculus	zinc finger protein 787(Zfp787)
1437764_at	338371	Mus musculus	endonuclease V(Endov)
1424730_a_at	57738	Mus musculus	solute carrier family 15 (H+/peptide transporter), member 2(Slc15a2)
1434864_at	233280	Mus musculus	non imprinted in Prader-Willi/Angelman syndrome 1 homolog (human)(Nipa1)
1440762_at	20965	Mus musculus	synapsin II(Syn2)
1453082_at	22158	Mus musculus	tubby-like protein 3(Tulp3)
1452767_at	81910	Mus musculus	ribosome binding protein 1(Rrbp1)
1450646_at	13121	Mus musculus	cytochrome P450, family 51(Cyp51)
1440467_at	382090	Mus musculus	centrosomal protein 162(Cep162)
1426595_at	110877	Mus musculus	solute carrier family 18 (vesicular monoamine), member 1(Slc18a1)
1455324_at	433022	Mus musculus	phosphatidylinositol-specific phospholipase C, X domain containing 2(Plcxd2)
1458146_at	320560	Mus musculus	DENN/MADD domain containing 5B(Dennd5b)
1422376_at	113852	Mus musculus	vomeronasal 1 receptor 50(Vmn1r50)
1429225_at	76376	Mus musculus	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2(Slc24a2)
1438708_x_at	54401	Mus musculus	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide(Ywhab)
1426034_a_at	12393	Mus musculus	runt related transcription factor 2(Runx2)
1450135_at	14365	Mus musculus	frizzled class receptor 3(Fzd3)
1427220_a_at	20944	Mus musculus	seminal vesicle secretory protein 5(Svs5)
1424560_at	19200	Mus musculus	proline-serine-threonine phosphatase-interacting protein 1(Pstpip1)
1438035_at	381110	Mus musculus	regulator of microtubule dynamics 2(Rmdn2)
1459872_x_at	14998	Mus musculus	histocompatibility 2, class II, locus DMa(H2-DMa)
1439446_at	408058	Mus musculus	cDNA sequence BC048507(BC048507)
1451212_at	70012	Mus musculus	centrosomal protein 85(Cep85)
1443998_at	215653	Mus musculus	Ras association (RalGDS/AF-6) domain family member 2(Rassf2)
1455412_at	54650	Mus musculus	Scm-like with four mbt domains 1(Sfmbt1)
1427384_at	71389	Mus musculus	chromodomain helicase DNA binding protein 6(Chd6)
1451595_a_at	16536	Mus musculus	potassium voltage-gated channel, subfamily Q, member 2(Kcnq2)
1418665_at	114663	Mus musculus	inositol (myo)-1(or 4)-monophosphatase 2(Impa2)
1437332_at	27493	Mus musculus	RIKEN cDNA A230006K03 gene(A230006K03Rik)
1437537_at	12371	Mus musculus	caspase 9(Casp9)
1429233_at	52398	Mus musculus	septin 11(Sept11)
1437069_at	237542	Mus musculus	oxysterol binding protein-like 8(Osbpl8)
1438490_at	213053	Mus musculus	solute carrier family 39 (zinc transporter), member 14(Slc39a14)
1450667_a_at	12974	Mus musculus	citrate synthase(Cs)
1442402_at	59009	Mus musculus	SH3 domain containing ring finger 1(Sh3rf1)
1447725_at	77469	Mus musculus	RIKEN cDNA C030034E14 gene(C030034E14Rik)
1436094_at	381677	Mus musculus	VGF nerve growth factor inducible(Vgf)
1420403_at	11941	Mus musculus	ATPase, Ca++ transporting, plasma membrane 2(Atp2b2)
1421387_at	84035	Mus musculus	kringle containing transmembrane protein 1(Kremen1)
1424251_a_at	50926	Mus musculus	heterogeneous nuclear ribonucleoprotein D-like(Hnrnpdl)
1444568_at	67771	Mus musculus	actin related protein 2/3 complex, subunit 5(Arpc5)
1428462_at	26932	Mus musculus	protein phosphatase 2, regulatory subunit B', epsilon(Ppp2r5e)
1459231_at	320795	Mus musculus	protein kinase N1(Pkn1)
1451450_at	67017	Mus musculus	family with sequence similarity 210, member B(Fam210b)
1458807_at	269587	Mus musculus	erythrocyte membrane protein band 4.1(Epb41)
1438999_a_at	54446	Mus musculus	nuclear factor of activated T cells 5(Nfat5)
1430086_at	231252	Mus musculus	cholinergic receptor, nicotinic, alpha polypeptide 9(Chrna9)
1451406_a_at	18552	Mus musculus	proprotein convertase subtilisin/kexin type 5(Pcsk5)
1437662_at	272428	Mus musculus	acyl-CoA synthetase medium-chain family member 5(Acsm5)
1418090_at	84094	Mus musculus	plasmalemma vesicle associated protein(Plvap)
1438089_a_at	72567	Mus musculus	BCL2-associated transcription factor 1(Bclaf1)
1429121_at	76857	Mus musculus	speckle-type POZ protein-like(Spopl)
1426385_x_at	22627	Mus musculus	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide(Ywhae)
1427345_a_at	20887	Mus musculus	sulfotransferase family 1A, phenol-preferring, member 1(Sult1a1)
1458347_s_at	50528	Mus musculus	transmembrane protease, serine 2(Tmprss2)
1438216_at	68750	Mus musculus	ras responsive element binding protein 1(Rreb1)
1458687_at	672498	Mus musculus	predicted gene 9564(Gm9564)
1448878_at	17121	Mus musculus	Max dimerization protein 3(Mxd3)
1434070_at	16449	Mus musculus	jagged 1(Jag1)
1441989_at	12175	Mus musculus	BCL2/adenovirus E1B interacting protein 2(Bnip2)
1438335_at	210004	Mus musculus	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1(B3gntl1)
1451614_a_at	11704	Mus musculus	amelogenin, X-linked(Amelx)
1441349_at	552904	Mus musculus	uncharacterized LOC552904(LOC552904)
1417941_at	67311	Mus musculus	N-acetylneuraminic acid phosphatase(Nanp)
1422152_at	15371	Mus musculus	H6 homeobox 1(Hmx1)
1446856_at	28044	Mus musculus	DNA segment, Chr 3, Wayne State University 167, expressed(D3Wsu167e)
1453325_at	71474	Mus musculus	protein phosphatase 6, regulatory subunit 2(Ppp6r2)
